City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930
Redmond,Oregon,Deschutes County,28492,1694,85,40,45,10,75,162,14,40.5,32.7,6,18,50,37,18.55%,$39008,$1090,$306800,N/A,N/A,21,9%,66%,56%,67,21 mins,4.70%,2.60%,14.20%,43.10%,46.40%,N/A,1.45%,89.70%,12.80%,Bend-Redmond,Pacific Standard Time,3623,3.2,58.60%,48.90%,30,4,48,10.2%,19.8%,5.6%,2.63,0
Redwood,Oregon,Josephine County,2646,767,91,46,45,30,106,193,2,46.9,40.2,N/A,11,29,56,17.31%,$37250,$1195,$246400,N/A,N/A,41,5%,51%,24%,53,20 mins,5.30%,1.10%,-16.50%,30.20%,60.40%,N/A,N/A,90.34%,2.90%,Grants Pass,Pacific Standard Time,942,3.2,79.60%,44.30%,13,N/A,N/A,11.5%,19.9%,3.7%,0.00,0
Reedsport,Oregon,Douglas County,4068,1989,69,50,19,73,161,179,0,52.2,45.7,7,17,48,51,9.70%,$31576,$634,$179000,N/A,N/A,47,13%,45%,18%,83,18 mins,5.40%,0.00%,-3.70%,26.30%,64.60%,N/A,1.35%,89.78%,4.60%,Roseburg,N/A,N/A,3.1,52.00%,41.70%,47,N/A,15,15.2%,19.0%,3.7%,0.00,0
Richland,Oregon,Baker County,175,1636,92,36,56,18,95,193,48,42.2,33.6,4,8,22,48,20.67%,$26771,$567,$171200,N/A,N/A,78,8%,41%,15%,92,16 mins,4.60%,-0.60%,60.60%,20.50%,70.80%,1.65%,1.32%,93.40%,5.10%,None,N/A,N/A,3.9,70.10%,20.60%,28,N/A,N/A,0%,19.1%,0%,0.00,0
Riddle,Oregon,Douglas County,1277,2030,86,48,38,35,145,180,2,50.2,43.6,3,14,36,35,10.47%,$39615,$834,$154900,N/A,N/A,59,10%,47%,19%,79,19 mins,5.40%,0.00%,22.30%,26.30%,64.60%,N/A,N/A,88.82%,10.00%,Roseburg,N/A,N/A,3.1,56.90%,54.90%,30,N/A,38,21%,21.8%,0%,0.00,0
Rivergrove,Oregon,Clackamas County,481,2829,82,47,35,42,147,143,2,51.4,43.2,N/A,6,16,44,67.39%,$105500,$2250,$820000,N/A,N/A,23,5%,53%,44%,29,25 mins,3.90%,0.90%,109.10%,47.70%,41.30%,11.57%,3.17%,79.66%,4.20%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,95.40%,25.40%,28,26,N/A,0%,14.8%,7.7%,N/A,N/A
Riverside,Oregon,Umatilla County,164,268,89,40,49,14,103,214,15,44,36.4,6,10,26,40,N/A,$69375,N/A,$197600,N/A,N/A,59,11%,38%,27%,90,18 mins,6.30%,-0.20%,5.10%,27.80%,61.80%,1.21%,N/A,72.73%,24.40%,Hermiston-Pendleton,N/A,N/A,3.2,83.10%,53.70%,2,13,29,6.7%,18.1%,2%,0.00,0
Rockaway Beach,Oregon,Tillamook County,1308,818,68,50,18,96,186,134,5,54.1,47,7,20,61,51,25.59%,$39453,$799,$293200,N/A,N/A,33,7%,36%,13%,93,18 mins,4.00%,0.20%,17.60%,41.80%,47.40%,N/A,N/A,97.94%,5.10%,None,N/A,N/A,2.9,17.90%,60.00%,N/A,82,N/A,12.1%,22.4%,2.3%,0.00,0
Rockcreek,Oregon,Washington County,9503,4856,81,47,34,40,155,141,2,52.3,43.9,N/A,11,34,39,49.49%,$76687,$1383,$550000,2007,$274,40,6%,48%,48%,44,22 mins,3.50%,0.90%,-2.80%,56.90%,30.90%,7.17%,N/A,84.10%,13.00%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,61.10%,39.90%,19,N/A,N/A,2.8%,17.9%,13.4%,0.00,0
Rogue River,Oregon,Jackson County,2487,2577,89,45,44,25,101,199,2,47.7,40.6,3,9,40,46,10.57%,$28344,$793,$304000,N/A,N/A,37,3%,45%,27%,81,18 mins,5.30%,1.50%,22.30%,40.70%,49.30%,N/A,N/A,92.53%,5.80%,Medford,Pacific Standard Time,1298,3.2,45.30%,53.30%,55,N/A,51,8.7%,24.2%,3.6%,0.00,0
Rose Lodge,Oregon,Lincoln County,1478,154,70,49,21,77,173,160,1,51.7,45,4,12,32,50,17.71%,$41908,$978,$227500,N/A,N/A,41,10%,44%,14%,87,18 mins,4.50%,-0.20%,-13.90%,49.50%,39.70%,N/A,N/A,87.60%,4.90%,Newport,N/A,N/A,2.9,59.90%,48.30%,0,N/A,N/A,4.8%,16.3%,2.8%,0.00,0
Roseburg,Oregon,Douglas County,22013,2051,85,48,37,35,146,182,1,51.2,44,3,16,78,43,25.26%,$39081,$849,$223900,N/A,N/A,46,8%,42%,19%,55,17 mins,5.40%,0.00%,4.40%,26.30%,64.60%,1.28%,N/A,92.90%,6.60%,Roseburg,N/A,N/A,3.1,49.80%,52.80%,42,18,44,10.3%,19.5%,4.7%,7.32,0
Roseburg North,Oregon,Douglas County,5904,271,85,48,37,35,146,179,1,51.4,44.3,N/A,16,48,41,16.32%,$30951,$894,$353700,N/A,N/A,41,9%,46%,19%,65,19 mins,5.40%,0.00%,-14.70%,26.30%,64.60%,3.22%,N/A,94.01%,2.70%,Roseburg,N/A,N/A,3.1,73.90%,59.00%,0,N/A,N/A,5.3%,20.1%,4.2%,0.00,0
Rowena,Oregon,Wasco County,218,121,87,41,46,18,105,177,14,45.5,37.2,5,11,30,47,N/A,$27202,N/A,$476500,N/A,N/A,16,7%,46%,25%,83,15 mins,3.50%,-1.40%,78.70%,40.00%,48.80%,N/A,N/A,100.00%,N/A,The Dalles,N/A,N/A,2.8,49.50%,42.40%,0,N/A,N/A,24.1%,32.6%,0%,0.00,0
Ruch,Oregon,Jackson County,765,114,89,47,42,23,110,196,4,46.4,39.2,N/A,7,20,42,48.74%,$68203,$1077,$368400,N/A,N/A,37,6%,48%,27%,81,18 mins,5.30%,1.50%,-19.30%,40.70%,49.30%,N/A,N/A,98.78%,4.40%,Medford,Pacific Standard Time,1298,3.2,77.60%,39.90%,N/A,N/A,N/A,0%,15.1%,2.1%,0.00,0
Rufus,Oregon,Sherman County,190,160,88,41,47,13,87,199,9,50,41.1,7,12,32,59,7.10%,$27188,$680,$141600,N/A,N/A,39,8%,41%,15%,91,22 mins,3.90%,-1.50%,-12.40%,19.90%,72.00%,N/A,N/A,90.17%,17.40%,None,N/A,N/A,3,57.40%,41.00%,32,N/A,18,13.3%,17.0%,1.6%,0.00,0
Salem,Oregon,Marion County,163654,3364,82,46,36,45,152,154,4,51.8,44.1,4,20,58,35,28.38%,$46273,$975,$369000,1647,$224,40,11%,63%,40%,38,21 mins,4.70%,-0.10%,7.80%,42.20%,46.30%,2.55%,1.36%,81.53%,22.40%,Salem,Pacific Standard Time,196,2.9,50.90%,53.10%,42,31,62,10.7%,19.9%,11.7%,4.51,0
Sandy,Oregon,Clackamas County,10581,3046,79,43,36,70,175,141,5,51.3,43.2,5,10,27,33,19.09%,$56476,$1228,$353000,N/A,N/A,18,6%,57%,46%,66,32 mins,3.90%,0.90%,19.40%,47.70%,41.30%,2.29%,N/A,91.42%,10.10%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,69.50%,42.40%,69,N/A,51,9.5%,23.0%,6.6%,1.05,0
Scappoose,Oregon,Columbia County,6975,2550,80,44,36,44,174,139,1,52.3,43.7,4,12,21,37,26.62%,$62244,$1250,$325200,N/A,N/A,25,5%,55%,41%,73,31 mins,5.10%,1.00%,9.20%,38.20%,49.70%,1.95%,N/A,93.78%,3.40%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.9,68.00%,46.80%,80,N/A,62,4.7%,18.6%,4.4%,3.04,0
Scio,Oregon,Linn County,744,1810,82,46,36,52,157,156,3,51.7,44.1,4,11,31,37,17.03%,$48750,$989,$339500,N/A,N/A,45,10%,63%,42%,75,28 mins,5.00%,1.40%,32.20%,30.60%,57.00%,N/A,1.62%,94.61%,1.50%,Albany,Pacific Standard Time,213,3,60.10%,45.00%,46,N/A,42,9.3%,19.2%,2.3%,13.68,0
Scotts Mills,Oregon,Marion County,446,1235,79,44,35,56,171,153,4,50.4,42.6,5,10,26,42,12.35%,$42292,$844,$498000,1791,$278,26,10%,64%,38%,73,23 mins,4.50%,-0.10%,57.60%,42.20%,46.30%,N/A,N/A,96.69%,4.50%,Salem,Pacific Standard Time,196,2.9,88.10%,43.60%,19,N/A,21,0.9%,24.3%,4.5%,0.00,0
Seaside,Oregon,Clatsop County,6542,1678,68,48,20,91,185,128,1,52.1,43.9,8,26,95,43,22.80%,$41037,$939,$299400,N/A,N/A,46,8%,37%,14%,83,19 mins,3.80%,0.00%,2.50%,47.10%,41.40%,1.13%,1.84%,93.68%,8.40%,Astoria,N/A,N/A,3,24.40%,56.20%,84,N/A,87,6.8%,20.4%,9%,4.66,0
Selma,Oregon,Josephine County,585,91,92,48,44,42,103,194,7,45.9,39.5,3,10,27,62,N/A,$32798,N/A,$237600,N/A,N/A,41,5%,53%,24%,84,20 mins,5.30%,1.10%,-9.90%,30.20%,60.40%,N/A,N/A,93.06%,6.00%,Grants Pass,Pacific Standard Time,942,3.2,65.60%,30.30%,24,N/A,30,16.3%,17.0%,1.2%,17.27,0
Seneca,Oregon,Grant County,222,279,81,34,47,14,106,206,59,33.7,27,6,10,26,59,3.54%,$26964,$619,$87300,N/A,N/A,52,8%,39%,16%,92,17 mins,5.00%,-1.60%,26.90%,17.00%,74.00%,N/A,N/A,97.71%,N/A,None,N/A,N/A,3.9,63.50%,35.70%,0,N/A,N/A,1.5%,17.3%,0%,0.00,0
Seventh Mountain,Oregon,Deschutes County,316,163,82,39,43,13,72,162,21,39.2,31.5,N/A,7,21,64,82.47%,$87917,$3000,$689900,N/A,N/A,12,9%,68%,51%,89,18 mins,3.90%,2.60%,-6.80%,43.10%,46.40%,N/A,N/A,96.50%,N/A,Bend-Redmond,Pacific Standard Time,3623,3.2,39.90%,15.90%,0,0,60,10.5%,17.8%,6.3%,0.00,0
Shady Cove,Oregon,Jackson County,3012,1574,89,46,43,26,114,194,4,47.4,40.1,4,8,26,51,10.48%,$36698,$1219,$292700,N/A,N/A,24,7%,51%,24%,79,18 mins,5.30%,1.50%,6.70%,40.70%,49.30%,N/A,1.49%,96.43%,8.60%,Medford,Pacific Standard Time,1298,3.2,66.00%,32.80%,24,N/A,46,11.2%,25.2%,0.7%,0.00,0
Shedd,Oregon,Linn County,449,298,83,46,37,45,153,157,5,51.5,44.2,4,16,43,28,N/A,$63906,N/A,$253700,N/A,N/A,60,11%,57%,40%,75,22 mins,5.00%,1.40%,-7.80%,30.60%,57.00%,N/A,N/A,100.00%,57.70%,Albany,Pacific Standard Time,213,3,22.60%,74.00%,23,N/A,N/A,48%,22.8%,42.3%,0.00,0
Sheridan,Oregon,Yamhill County,6049,3074,83,45,38,46,139,157,4,51.9,44.2,4,15,47,40,10.12%,$40729,$931,$227400,N/A,N/A,39,9%,54%,39%,82,28 mins,4.00%,0.90%,2.00%,39.60%,47.70%,3.66%,5.44%,79.84%,13.60%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,56.40%,58.40%,71,N/A,43,9.4%,20.2%,4.7%,6.57,0
Sherwood,Oregon,Washington County,19107,4431,82,46,36,42,147,142,1,52.5,44.3,4,7,22,36,49.97%,$84360,$1485,$567300,2124,$267,19,4%,48%,45%,57,28 mins,3.50%,0.90%,11.60%,56.90%,30.90%,3.31%,N/A,89.33%,6.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,74.10%,37.30%,38,23,55,1.8%,20.4%,6.6%,0.00,0
Siletz,Oregon,Lincoln County,1526,2418,70,48,22,83,181,158,1,52.3,45.6,8,13,35,40,8.71%,$39063,$975,$153300,N/A,N/A,38,10%,44%,15%,86,18 mins,4.50%,-0.20%,26.60%,49.50%,39.70%,N/A,N/A,73.60%,N/A,Newport,N/A,N/A,2.9,56.40%,53.80%,43,N/A,41,22.5%,19.7%,0.5%,7.14,0
Silver Lake,Oregon,Lake County,72,49,86,40,46,12,81,211,16,37.7,30.3,7,10,27,57,N/A,$53693,N/A,$204100,N/A,N/A,24,8%,42%,16%,95,3 mins,4.90%,-0.40%,-34.60%,16.30%,76.90%,N/A,N/A,100.00%,29.20%,None,N/A,N/A,3.2,46.70%,25.80%,14,N/A,30,0%,17.0%,19.3%,0.00,0
Silverton,Oregon,Marion County,9757,2785,81,46,35,47,162,157,3,52.4,44.4,5,10,32,37,29.15%,$53929,$967,$439900,1817,$242,42,11%,64%,40%,61,26 mins,4.50%,-0.10%,9.10%,42.20%,46.30%,N/A,N/A,89.84%,10.20%,Salem,Pacific Standard Time,196,2.9,65.30%,46.00%,0,N/A,6,6.7%,17.7%,2.2%,0.00,0
Sisters,Oregon,Deschutes County,2452,1306,84,40,44,11,73,162,16,39.8,32.4,5,11,29,41,34.29%,$41750,$1154,$447800,N/A,N/A,15,9%,57%,41%,85,18 mins,3.90%,2.60%,28.80%,43.10%,46.40%,N/A,N/A,91.41%,13.00%,Bend-Redmond,Pacific Standard Time,3623,3.2,42.80%,44.10%,79,N/A,81,8.1%,21.7%,6.7%,0.00,0
Sodaville,Oregon,Linn County,439,1421,83,47,36,50,156,157,2,51.3,43.9,N/A,10,28,42,23.14%,$51250,$1031,$237000,N/A,N/A,27,11%,60%,41%,72,28 mins,5.00%,1.40%,0.90%,30.60%,57.00%,1.04%,N/A,85.75%,N/A,Albany,Pacific Standard Time,213,3,69.00%,52.10%,6,N/A,9,0%,19.9%,3.1%,0.00,0
South Lebanon,Oregon,Linn County,704,594,83,47,36,50,156,155,2,51.3,43.9,N/A,11,28,53,N/A,$44922,N/A,$207000,N/A,N/A,51,12%,57%,42%,57,22 mins,5.00%,1.40%,-26.90%,30.60%,57.00%,N/A,N/A,96.29%,3.70%,Albany,Pacific Standard Time,213,3,83.60%,46.20%,10,N/A,N/A,16%,21.3%,0%,0.00,0
Spray,Oregon,Wheeler County,152,526,84,41,43,15,90,201,22,42.6,36.1,7,10,26,60,3.31%,$32778,$600,$130800,N/A,N/A,69,8%,41%,15%,93,0 mins,4.70%,-2.10%,28.80%,18.90%,72.20%,N/A,N/A,99.57%,N/A,None,N/A,N/A,2.8,67.50%,31.40%,11,N/A,N/A,10.6%,22.8%,1.5%,0.00,0
Springfield,Oregon,Lane County,60823,3842,83,46,37,50,157,158,4,50.9,43.9,4,21,64,35,17.82%,$39355,$929,$349900,1315,$266,41,7%,49%,30%,43,20 mins,5.00%,1.10%,4.10%,53.50%,35.00%,1.64%,N/A,85.24%,12.00%,Eugene,Pacific Standard Time,373,3.1,50.90%,56.90%,47,33,63,14.9%,21.2%,6.2%,2.68,0
St. Helens,Oregon,Columbia County,13254,2770,80,44,36,52,173,141,2,52.5,43.8,N/A,14,37,38,N/A,$47421,N/A,$274000,N/A,N/A,40,5%,56%,44%,52,32 mins,5.10%,1.00%,5.70%,38.20%,49.70%,N/A,N/A,N/A,7.40%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.9,56.90%,53.40%,82,N/A,77,14.4%,19.6%,3.1%,5.47,0
St. Paul,Oregon,Marion County,460,1565,82,46,36,41,144,158,1,52.1,44.2,N/A,7,20,31,N/A,$64063,N/A,$369700,N/A,N/A,43,10%,65%,40%,71,23 mins,4.50%,-0.10%,34.10%,42.20%,46.30%,N/A,N/A,N/A,11.30%,Salem,Pacific Standard Time,196,2.9,81.30%,33.50%,36,N/A,N/A,1.8%,17.3%,4.9%,0.00,0
Stafford,Oregon,Clackamas County,1992,318,82,47,35,44,147,142,1,51.4,43.2,N/A,8,22,50,76.28%,$138264,$1145,$1046100,N/A,N/A,47,5%,55%,45%,36,28 mins,3.90%,0.90%,12.90%,47.70%,41.30%,N/A,1.38%,98.62%,N/A,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,81.90%,30.90%,8,N/A,N/A,9.1%,23.8%,7.5%,0.00,0
Stanfield,Oregon,Umatilla County,2662,1735,89,40,49,10,79,195,2,47,38.4,7,15,27,33,11.58%,$49219,$949,$148000,N/A,N/A,41,10%,38%,27%,83,16 mins,6.30%,-0.20%,36.40%,27.80%,61.80%,N/A,N/A,82.73%,37.60%,Hermiston-Pendleton,N/A,N/A,3.2,62.90%,47.90%,50,N/A,43,10.3%,17.8%,16%,0.00,0
Stayton,Oregon,Marion County,7927,2630,80,45,35,52,165,155,3,51.9,44.3,4,19,57,34,10.91%,$41432,$981,$364500,1506,$242,38,10%,58%,35%,65,23 mins,4.50%,-0.10%,5.80%,42.20%,46.30%,N/A,1.85%,87.82%,21.00%,Salem,Pacific Standard Time,196,2.9,50.30%,40.60%,73,N/A,60,12.1%,18.5%,10.3%,1.31,0
Sublimity,Oregon,Marion County,2876,3089,80,45,35,52,165,157,3,52.1,44.4,4,10,26,46,28.59%,$53611,$1153,$493900,2214,$223,27,10%,56%,35%,74,23 mins,4.50%,-0.10%,10.40%,42.20%,46.30%,2.06%,N/A,91.81%,6.90%,Salem,Pacific Standard Time,196,2.9,63.80%,41.20%,36,N/A,46,2.9%,18.9%,5.9%,0.00,0
Summerville,Oregon,Union County,141,542,86,38,48,19,112,192,26,41.7,34.3,5,9,24,45,23.25%,$36500,$850,$167000,N/A,N/A,44,10%,44%,26%,88,18 mins,4.60%,-0.30%,-22.10%,25.10%,65.00%,N/A,N/A,97.06%,4.30%,La Grande,N/A,N/A,3.9,80.30%,24.80%,0,N/A,25,5.1%,16.8%,0%,0.00,0
Summit,Oregon,Benton County,113,363,82,46,36,66,171,157,8,51.3,43.7,N/A,12,33,41,N/A,$78042,N/A,$200900,N/A,N/A,78,8%,46%,43%,79,19 mins,3.80%,0.10%,32.90%,59.90%,27.60%,N/A,N/A,93.14%,N/A,Corvallis,Pacific Standard Time,282,3.1,81.00%,66.00%,0,N/A,4,0%,13.8%,0%,0.00,0
Sumpter,Oregon,Baker County,218,100,81,33,48,20,115,197,81,36.9,28.9,5,11,31,63,N/A,$26607,N/A,$159500,N/A,N/A,33,8%,41%,16%,96,16 mins,4.60%,-0.60%,51.40%,20.50%,70.80%,N/A,N/A,N/A,1.40%,None,N/A,N/A,3.9,28.00%,39.30%,29,N/A,28,12.7%,19.1%,2.1%,76.34,0
Sunriver,Oregon,Deschutes County,957,108,82,37,45,18,89,162,49,39.2,31.5,7,9,26,57,52.24%,$48268,$1178,$485200,N/A,N/A,30,9%,66%,53%,84,18 mins,3.90%,2.60%,19.00%,43.10%,46.40%,N/A,N/A,100.00%,8.40%,Bend-Redmond,Pacific Standard Time,3623,3.2,8.20%,28.10%,48,N/A,72,5.7%,23.3%,7.8%,0.00,0
Sutherlin,Oregon,Douglas County,7887,1273,85,48,37,39,146,176,1,51.2,43.9,N/A,15,35,44,16.36%,$37764,$881,$206800,N/A,N/A,33,8%,44%,18%,67,19 mins,5.40%,0.00%,2.90%,26.30%,64.60%,N/A,N/A,96.35%,4.20%,Roseburg,N/A,N/A,3.1,62.10%,43.50%,65,N/A,57,16.2%,20.4%,2.9%,3.87,0
Sweet Home,Oregon,Linn County,9289,1753,83,47,36,51,165,154,2,50.7,43.6,N/A,13,76,39,5.89%,$36387,$934,$206800,N/A,N/A,45,14%,59%,42%,72,24 mins,5.00%,1.40%,5.90%,30.60%,57.00%,1.02%,1.49%,90.47%,3.80%,Albany,Pacific Standard Time,213,3,59.10%,50.70%,70,N/A,43,15.2%,22.0%,1.5%,6.71,0
Takilma,Oregon,Josephine County,493,83,92,48,44,44,103,194,7,46.9,40.2,N/A,8,21,48,N/A,$88875,N/A,$330800,N/A,N/A,37,5%,50%,24%,88,20 mins,5.30%,1.10%,95.60%,30.20%,60.40%,N/A,N/A,92.92%,N/A,Grants Pass,Pacific Standard Time,942,3.2,90.90%,38.50%,0,N/A,23,0%,14.5%,0%,0.00,0
Talent,Oregon,Jackson County,6349,4770,89,47,42,23,110,195,4,45,37.7,4,16,31,40,39.22%,$32168,$927,$302400,N/A,N/A,28,7%,53%,26%,65,18 mins,5.30%,1.50%,5.20%,40.70%,49.30%,5.64%,N/A,89.73%,11.60%,Medford,Pacific Standard Time,1298,3.2,50.50%,53.00%,70,N/A,66,15.8%,19.4%,9.7%,0.00,0
Tangent,Oregon,Linn County,1208,320,83,46,37,45,154,160,4,51.6,44.3,4,9,26,34,19.51%,$44167,$1293,$247100,N/A,N/A,26,11%,57%,42%,72,23 mins,5.00%,1.40%,10.70%,30.60%,57.00%,N/A,N/A,94.41%,11.90%,Albany,Pacific Standard Time,213,3,65.40%,36.90%,3,N/A,N/A,4.5%,20.2%,0.5%,7.97,0
Terrebonne,Oregon,Deschutes County,1517,1495,85,40,45,10,79,164,14,40.7,33.3,6,9,25,39,25.11%,$65446,$917,$375000,N/A,N/A,31,8%,75%,55%,74,18 mins,3.90%,2.60%,29.30%,43.10%,46.40%,N/A,N/A,94.21%,N/A,Bend-Redmond,Pacific Standard Time,3623,3.2,75.10%,32.90%,46,N/A,46,9.8%,20.2%,0.8%,7.70,0
Tetherow,Oregon,Deschutes County,471,221,82,39,43,12,72,162,21,39.2,31.5,N/A,6,15,40,N/A,$0,N/A,$1390100,N/A,N/A,6,9%,68%,52%,63,18 mins,3.90%,2.60%,995.40%,43.10%,46.40%,N/A,N/A,100.00%,N/A,Bend-Redmond,Pacific Standard Time,3623,3.2,93.90%,15.60%,2,0,57,15.4%,12.1%,5.4%,0.00,0
The Dalles,Oregon,Wasco County,15224,2286,87,41,46,18,105,177,14,50.6,41.2,6,10,52,39,19.59%,$41561,$831,$254800,N/A,N/A,54,7%,47%,24%,64,14 mins,3.50%,-1.40%,14.70%,40.00%,48.80%,1.02%,N/A,88.67%,17.80%,The Dalles,N/A,N/A,2.8,56.10%,48.20%,67,N/A,52,10%,19.9%,8.1%,5.91,0
Three Rivers,Oregon,Deschutes County,3903,518,82,37,45,18,89,160,49,38.1,30.4,N/A,15,47,41,28.25%,$46288,$1113,$324700,N/A,N/A,19,9%,66%,54%,85,23 mins,3.90%,2.60%,33.60%,43.10%,46.40%,1.09%,N/A,91.31%,2.50%,Bend-Redmond,Pacific Standard Time,3623,3.2,46.50%,52.80%,0,N/A,27,5.9%,22.9%,2.1%,0.00,0
Tigard,Oregon,Washington County,51355,4028,81,47,34,41,149,145,2,52.6,44.3,4,15,42,37,44.21%,$60849,$1243,$542500,2078,$261,33,4%,49%,47%,27,24 mins,3.50%,0.90%,8.70%,56.90%,30.90%,8.11%,1.08%,81.86%,11.20%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,59.20%,46.20%,41,31,63,5.9%,19.7%,13.7%,0.20,0
Tillamook,Oregon,Tillamook County,5085,2671,70,50,20,94,178,135,1,53.6,46.2,7,12,46,34,13.28%,$29172,$792,$285800,N/A,N/A,58,8%,45%,21%,89,18 mins,4.00%,0.20%,3.80%,41.80%,47.40%,N/A,N/A,91.49%,15.30%,None,N/A,N/A,2.9,38.00%,59.70%,82,N/A,N/A,13%,20.2%,7.5%,6.08,0
Toledo,Oregon,Lincoln County,3514,1611,73,49,24,81,169,154,1,52.1,45.3,8,17,39,38,17.68%,$44034,$949,$206000,N/A,N/A,59,12%,53%,24%,82,18 mins,4.50%,-0.20%,1.70%,49.50%,39.70%,N/A,N/A,94.33%,3.90%,Newport,N/A,N/A,2.9,55.20%,52.00%,59,N/A,N/A,14.9%,17.9%,0.5%,2.89,0
Trail,Oregon,Jackson County,699,103,89,47,42,33,124,196,12,46.3,38.5,4,9,25,63,N/A,$43272,N/A,$372000,N/A,N/A,42,6%,50%,26%,79,18 mins,5.30%,1.50%,114.40%,40.70%,49.30%,N/A,N/A,100.00%,6.70%,Medford,Pacific Standard Time,1298,3.2,64.50%,38.30%,2,N/A,N/A,0%,19.1%,0%,49.26,0
Tri-City,Oregon,Douglas County,3960,548,86,48,38,35,144,175,2,50.7,43.6,N/A,15,44,43,7.59%,$41008,$830,$155400,N/A,N/A,40,9%,44%,18%,75,19 mins,5.40%,0.00%,0.20%,26.30%,64.60%,1.30%,N/A,87.23%,2.70%,Roseburg,N/A,N/A,3.1,68.30%,45.60%,35,N/A,N/A,13.6%,19.3%,2%,0.00,0
Troutdale,Oregon,Multnomah County,16557,2789,81,45,36,58,164,145,4,52.6,44,5,14,45,35,22.89%,$58790,$1195,$449900,1806,$249,27,4%,49%,40%,30,28 mins,3.70%,0.90%,7.90%,73.30%,17.00%,5.33%,2.76%,81.89%,13.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,65.10%,48.50%,58,N/A,47,8.2%,18.2%,10.6%,1.25,0
Tualatin,Oregon,Washington County,27135,3320,82,46,36,42,147,141,2,52.7,44.4,4,9,41,38,45.35%,$65903,$1335,$575000,2169,$265,28,4%,49%,42%,33,22 mins,3.70%,0.90%,6.00%,56.90%,30.90%,3.66%,2.07%,83.05%,16.50%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,53.50%,42.70%,27,29,54,6.7%,19.3%,11.6%,0.37,0
Tumalo,Oregon,Deschutes County,547,320,83,40,43,10,72,162,20,39.2,31.5,N/A,7,20,53,74.33%,$26917,$1435,$802800,N/A,N/A,37,9%,66%,54%,79,18 mins,3.90%,2.60%,29.90%,43.10%,46.40%,N/A,N/A,100.00%,N/A,Bend-Redmond,Pacific Standard Time,3623,3.2,66.80%,35.30%,44,0,49,0%,9.0%,5.7%,0.00,0
Turner,Oregon,Marion County,2221,1554,81,46,35,47,160,157,4,51.7,44.2,4,11,22,35,19.76%,$52674,$914,$509000,2060,$247,34,10%,59%,42%,65,24 mins,4.50%,-0.10%,8.20%,42.20%,46.30%,2.57%,N/A,90.86%,10.30%,Salem,Pacific Standard Time,196,2.9,74.00%,45.20%,39,N/A,48,3.3%,17.4%,3.9%,0.00,0
Tutuilla,Oregon,Umatilla County,458,23,89,40,49,14,103,192,15,44,36.4,N/A,10,27,48,20.14%,$57917,$625,$279200,N/A,N/A,37,11%,37%,27%,90,18 mins,6.30%,-0.20%,-6.90%,27.80%,61.80%,N/A,N/A,70.42%,4.80%,Hermiston-Pendleton,N/A,N/A,3.2,81.30%,43.60%,0,N/A,30,11.8%,11.8%,1.8%,0.00,0
Tygh Valley,Oregon,Wasco County,201,54,85,39,46,20,109,153,30,45.5,37.2,5,13,33,60,N/A,$63482,N/A,$161300,N/A,N/A,40,8%,46%,25%,89,17 mins,3.50%,-1.40%,14.90%,40.00%,48.80%,N/A,N/A,100.00%,N/A,The Dalles,N/A,N/A,2.8,49.50%,56.30%,13,N/A,15,40.8%,17.0%,0%,55.87,0
Ukiah,Oregon,Umatilla County,258,1062,89,41,48,15,89,189,13,39.6,31.9,6,11,30,45,12.23%,$35000,$830,$117900,N/A,N/A,46,10%,36%,27%,92,18 mins,6.30%,-0.20%,69.70%,27.80%,61.80%,4.87%,N/A,86.89%,7.80%,Hermiston-Pendleton,N/A,N/A,3.2,39.20%,67.60%,27,N/A,13,6%,9.0%,5.9%,0.00,0
